Model,TOPSIS_Score,Distance_to_Best,Distance_to_Worst,Rank
ALBERT,0.5626167065240457,0.047902504170764394,0.06161814941907806,1
BERT,0.5341743031408377,0.04317006928544039,0.049504228368199836,2
DistilBERT,0.530081219385047,0.059012966186117795,0.06656823767402856,3
RoBERTa,0.4587244520026773,0.050379861144200816,0.04269632035079258,4
T5,0.4518287030151364,0.07113315506144745,0.058631309901794895,5
GPT-2,0.3053792949480548,0.06633075547726634,0.029161295068946484,6
