Model,TOPSIS_Score,Distance_to_Best,Distance_to_Worst,Rank
ALBERT,0.7669595337214812,0.018647760391658698,0.061371648638238234,1
DistilBERT,0.7647317180080528,0.020226036239942635,0.06574405742799574,2
BERT,0.5815345719271107,0.030550512984582258,0.042455549010247326,3
RoBERTa,0.5301803464096664,0.03445758254838663,0.03888456541214214,4
GPT-2,0.41387461868272324,0.043541301006324994,0.030745365966650815,5
T5,0.21335524285510485,0.07036246562667894,0.019083837787402805,6
