Model,TOPSIS_Score,Distance_to_Best,Distance_to_Worst,Rank
DistilBERT,0.7085699368798312,0.025739272341533635,0.0625813081296728,1
ALBERT,0.7082966658086794,0.024281436249610402,0.05895873759661944,2
BERT,0.5756113072868888,0.0306644111320882,0.04159107460211229,3
RoBERTa,0.5130366203377755,0.035184800215343835,0.037068682664106546,4
GPT-2,0.47692556448250484,0.040349711043908075,0.03678980926927401,5
T5,0.21797005034746694,0.06770158063482411,0.01887001507567889,6
