Model,TOPSIS_Score,Distance_to_Best,Distance_to_Worst,Rank
GPT-2,0.6289400730659617,0.041192672798569106,0.06982085846289679,1
ALBERT,0.5207325020141016,0.055743690823053874,0.06056649306655768,2
DistilBERT,0.4993319913389737,0.06439270392546549,0.06422087395756261,3
BERT,0.4913038358200669,0.048982175183962154,0.04730747398790865,4
RoBERTa,0.42571297864193414,0.055477029744877296,0.04112454347836218,5
T5,0.3885901493706663,0.07145590884884881,0.04541481015461202,6
